filename, language, JSON, Markdown, Properties, Ignore, JavaScript React, XML, HTML, SCSS, CSS, comment, blank, total
frontend\app\src\components\ButtonLink\index.js, JavaScript React, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 3, 97
frontend\app\src\components\ChallengesGrid\ChallengeItem.js, JavaScript React, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
frontend\app\src\components\ChallengesGrid\MentorItem.js, JavaScript React, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
frontend\app\src\components\ChallengesGrid\index.js, JavaScript React, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
frontend\app\src\components\ChallengesGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 6, 126
frontend\app\src\components\ContactForm\index.js, JavaScript React, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 21, 177
frontend\app\src\components\ContactForm\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
frontend\app\src\components\DatesGrid\TimeItem.js, JavaScript React, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
frontend\app\src\components\DatesGrid\index.js, JavaScript React, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
frontend\app\src\components\DatesGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 3, 63
frontend\app\src\components\Divider\Divider.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
frontend\app\src\components\Divider\index.js, JavaScript React, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
frontend\app\src\components\EditorTools\index.js, JavaScript React, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 12, 61
frontend\app\src\components\EditorTools\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 8, 60
frontend\app\src\components\FaqGrid\FaqGridItem.js, JavaScript React, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 49
frontend\app\src\components\FaqGrid\index.js, JavaScript React, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 35
frontend\app\src\components\FaqGrid\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 11, 149
frontend\app\src\components\FooterImageButtons\index.js, JavaScript React, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
frontend\app\src\components\FooterImageButtons\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
frontend\app\src\components\Footer\index.js, JavaScript React, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 9, 157
frontend\app\src\components\Footer\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 122, 0, 4, 26, 152
frontend\app\src\components\GradientLink\index.js, JavaScript React, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
frontend\app\src\components\GradientLink\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
frontend\app\src\components\Header\NavMenu\index.js, JavaScript React, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 14, 100
frontend\app\src\components\Header\NavMenu\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 101, 0, 1, 14, 116
frontend\app\src\components\Header\index.js, JavaScript React, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 11, 73
frontend\app\src\components\Header\style.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 11, 75
frontend\app\src\components\HeroCTA\index.js, JavaScript React, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 51
